ticker,config,model,threshold_used,val_accuracy,val_precision,val_recall,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,test_strategy_max_drawdown,test_strategy_sharpe,test_holding_ratio,test_entry_count
2454.TW,1d_base,AlwaysUp,0.5,0.4869791666666667,0.4869791666666667,1.0,0.6549912434325744,3.8079917600388775,0.44935064935064933,0.44935064935064933,1.0,0.6200716845878136,0.10865868481236096,0.18972223308233227,-0.5590704811566689,0.4817325744491719,0.9974025974025974,1
2454.TW,1d_base,Random,0.4700000000000001,0.5182291666666666,0.5052631578947369,0.5133689839572193,0.5092838196286472,0.06105791902173885,0.45714285714285713,0.4052631578947368,0.44508670520231214,0.42424242424242425,-0.8732479110260205,0.18972223308233227,-0.9097109613208965,-1.926931017141466,0.922077922077922,30
2454.TW,1d_vol,AlwaysUp,0.5,0.4869791666666667,0.4869791666666667,1.0,0.6549912434325744,3.8079917600388775,0.44935064935064933,0.44935064935064933,1.0,0.6200716845878136,0.10865868481236096,0.18972223308233227,-0.5590704811566689,0.4817325744491719,0.9974025974025974,1
2454.TW,1d_vol,Random,0.4700000000000001,0.5182291666666666,0.5052631578947369,0.5133689839572193,0.5092838196286472,0.06105791902173885,0.45714285714285713,0.4052631578947368,0.44508670520231214,0.42424242424242425,-0.8732479110260205,0.18972223308233227,-0.9097109613208965,-1.926931017141466,0.922077922077922,30
2454.TW,5d_base,AlwaysUp,0.5,0.5848563968668408,0.5848563968668408,1.0,0.7380560131795717,4.610397564032282,0.5104166666666666,0.5104166666666666,1.0,0.6758620689655173,0.027403566756896147,0.14653169416153888,-0.5590704811566686,0.42153571602472256,0.9947916666666666,1
2454.TW,5d_base,Random,0.5300000000000001,0.5143603133159269,0.6,0.5089285714285714,0.5507246376811594,4.013054099282284,0.4739583333333333,0.4842105263157895,0.46938775510204084,0.47668393782383417,-0.7027213162586439,0.14653169416153888,-0.7908741225708222,-0.932558780422675,0.9661458333333334,5
2454.TW,5d_vol,AlwaysUp,0.5,0.5848563968668408,0.5848563968668408,1.0,0.7380560131795717,4.610397564032282,0.5104166666666666,0.5104166666666666,1.0,0.6758620689655173,0.027403566756896147,0.14653169416153888,-0.5590704811566686,0.42153571602472256,0.9947916666666666,1
2454.TW,5d_vol,Random,0.5300000000000001,0.5143603133159269,0.6,0.5089285714285714,0.5507246376811594,4.013054099282284,0.4739583333333333,0.4842105263157895,0.46938775510204084,0.47668393782383417,-0.7027213162586439,0.14653169416153888,-0.7908741225708222,-0.932558780422675,0.9661458333333334,5
2308.TW,1d_base,AlwaysUp,0.5,0.4739583333333333,0.4739583333333333,1.0,0.6431095406360424,0.5025298578951569,0.522077922077922,0.522077922077922,1.0,0.6860068259385665,5.656600367375413,1.9563639838995206,-0.6337726184755123,1.9055937713118092,0.9974025974025974,1
2308.TW,1d_base,Random,0.42000000000000004,0.578125,0.5526315789473685,0.5769230769230769,0.5645161290322581,0.6039704466509814,0.44675324675324674,0.46842105263157896,0.4427860696517413,0.45524296675191817,-0.8839639383775466,1.9563639838995206,-0.9179389593488326,-1.8833018360226002,0.9766233766233766,9
