ticker,name,config,model,threshold_used,val_accuracy,val_precision,val_recall,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,test_strategy_max_drawdown,test_strategy_sharpe,test_holding_ratio,test_entry_count
006208.TW,???50 ETF,5d_vol,XGBoost,0.4,0.4921052631578947,0.5536332179930796,0.7142857142857143,0.6237816764132553,0.5635713160156413,0.5736842105263158,0.6428571428571429,0.6652173913043479,0.6538461538461539,0.8947007683165005,0.5503166616910864,-0.3621942290958846,1.246886388593131,1.1605263157894736,0
2330.TW,???,1d_base,PCA_LogReg,0.4,0.4661458333333333,0.4563106796116505,0.23979591836734693,0.31438127090301005,1.2319162212237305,0.484375,0.4727272727272727,0.2708333333333333,0.3443708609271523,0.9391178235141042,0.863769052850742,-0.30514651291990813,1.4245863544034683,1.0,1
2330.TW,???,1d_base,LogisticRegression_Ridge,0.43000000000000005,0.4869791666666667,0.49504950495049505,0.25510204081632654,0.3367003367003367,0.5806909438647219,0.4635416666666667,0.4406779661016949,0.2708333333333333,0.33548387096774196,0.7906810477462949,0.863769052850742,-0.2917821539690538,1.2570988651984374,0.9635416666666666,10
2330.TW,???,1d_base,RandomForest,0.4,0.4583333333333333,0.4594594594594595,0.3469387755102041,0.3953488372093023,0.2721262451341184,0.4947916666666667,0.4931506849315068,0.375,0.4260355029585799,0.5259990384327293,0.863769052850742,-0.36191118833581803,0.8769062611561942,0.9088541666666666,1
2330.TW,???,1d_base,XGBoost,0.41000000000000003,0.4713541666666667,0.47928994082840237,0.413265306122449,0.4438356164383562,0.20778349969329635,0.5234375,0.5298013245033113,0.4166666666666667,0.46647230320699706,-0.16296494574816123,0.863769052850742,-0.4231412441080947,-0.044980226934720924,0.7109375,11
2330.TW,???,1d_vol,PCA_LogReg,0.42000000000000004,0.5078125,0.5360824742268041,0.2653061224489796,0.35494880546075086,0.7469642334687645,0.4765625,0.45454545454545453,0.234375,0.30927835051546393,0.6669192267879551,0.863769052850742,-0.2588029511131883,1.1532713483748303,0.8984375,5
2330.TW,???,1d_vol,LogisticRegression_Ridge,0.41000000000000003,0.4817708333333333,0.4827586206896552,0.21428571428571427,0.2968197879858657,0.5845652065895197,0.5026041666666666,0.504,0.328125,0.39747634069400634,0.6945792536841005,0.863769052850742,-0.29621611354023836,1.1543251534151622,0.8723958333333334,5
2330.TW,???,1d_vol,RandomForest,0.4,0.4895833333333333,0.5,0.37244897959183676,0.4269005847953216,0.39913075958978017,0.4869791666666667,0.48,0.3125,0.3785488958990536,0.6488184327671451,0.863769052850742,-0.38593034386958414,1.016399881291178,0.8385416666666666,1
2330.TW,???,1d_vol,XGBoost,0.41000000000000003,0.4713541666666667,0.47953216374269003,0.41836734693877553,0.44686648501362397,-0.22823023667411402,0.4947916666666667,0.4925373134328358,0.34375,0.4049079754601227,0.32286778704089913,0.863769052850742,-0.3360399062949728,0.6429707254140996,0.6536458333333334,8
2330.TW,???,5d_base,XGBoost,0.42000000000000004,0.5352480417754569,0.5603112840466926,0.6889952153110048,0.6180257510729614,1.9847635894866977,0.4856396866840731,0.556910569105691,0.6088888888888889,0.5817409766454352,0.7003542985960864,0.8291645082652164,-0.41831188015006737,0.9260906926395599,1.0496083550913837,2
2330.TW,???,5d_base,RandomForest,0.45000000000000007,0.5221932114882507,0.545774647887324,0.7416267942583732,0.6288032454361054,1.8558121459230774,0.5091383812010444,0.5682656826568265,0.6844444444444444,0.6209677419354839,0.6168382101174381,0.8291645082652164,-0.44200811259410433,0.9128895636188337,1.0182767624020888,10
2330.TW,???,5d_base,PCA_LogReg,0.4900000000000001,0.5378590078328982,0.5449438202247191,0.9282296650717703,0.6867256637168142,1.2939838248185795,0.577023498694517,0.590778097982709,0.9111111111111111,0.7167832167832168,1.2116387544495995,0.8291645082652164,-0.33381100412499565,1.5180641121509901,0.9921671018276762,3
